Name of Bank|Country|Region|Update
ActivoBank |Spain|EU|28/04/2014
Banca March|Spain|EU|28/04/2014
Banco Atlántico S.A. |Spain|EU|28/04/2014
Banco Bilbao Vizcaya (BBVA)|Spain|EU|28/04/2014
Banco de España (BDE)|Spain|EU|28/04/2014
Banco de Sabadell|Spain|EU|28/04/2014
Banco de Vitoria S.A.|Spain|EU|28/04/2014
Banco Esfinge S.A. |Spain|EU|28/04/2014
Banco Español de Crédito S.A. (Banesto)|Spain|EU|28/04/2014
Banco Etcheverria |Spain|EU|28/04/2014
Bancofar S.A.|Spain|EU|28/04/2014
Banco Gallego|Spain|EU|28/04/2014
Banco Guipuzcoano|Spain|EU|28/04/2014
Banco Halifax Hispania S.A.|Spain|EU|28/04/2014
Banco Inversión|Spain|EU|28/04/2014
Banco Pastor S.A.|Spain|EU|28/04/2014
Banco Santander Central Hispano|Spain|EU|28/04/2014
Banco Urquijo|Spain|EU|28/04/2014
Banco Zaragozano|Spain|EU|28/04/2014
Bankinter S.A.|Spain|EU|28/04/2014
Bankpyme|Spain|EU|28/04/2014
Barclays Bank S. A.|Spain|EU|28/04/2014
Bilbao Bizkaia Kutxa (BBK)|Spain|EU|28/04/2014
BSN Banif S. A.|Spain|EU|28/04/2014
Citibank|Spain|EU|28/04/2014
Commerzbank|Spain|EU|28/04/2014
Deutsche Bank|Spain|EU|28/04/2014
FIBANC Banco de Finanzas e Inversiones S.A.|Spain|EU|28/04/2014
Grupo Banco Popular|Spain|EU|28/04/2014
HSBC Bank plc |Spain|EU|28/04/2014
Iberagentes Popular Banca Privada|Spain|EU|28/04/2014
ING Direct|Spain|EU|28/04/2014
Lloyds TSB Bank plc|Spain|EU|28/04/2014
Solbank|Spain|EU|28/04/2014
UNO-E Bank S.A.|Spain|EU|28/04/2014
Caixa de Catalunya|Spain|EU|28/04/2014
Caixa de Manlleu|Spain|EU|28/04/2014
Caixa de Pollença|Spain|EU|28/04/2014
Caixa de Sabadell|Spain|EU|28/04/2014
Caixa d'Estalvis del Penedès|Spain|EU|28/04/2014
Caixa d'Estalvis d'Ontinyent|Spain|EU|28/04/2014
Caixa de Terrassa|Spain|EU|28/04/2014
Caixa Galicia|Spain|EU|28/04/2014
Caixa Laietana|Spain|EU|28/04/2014
Caixa Mansera|Spain|EU|28/04/2014
Caixa Tarragona |Spain|EU|28/04/2014
Caja Cantabria|Spain|EU|28/04/2014
Caja de Ahorros Castilla La Mancha|Spain|EU|28/04/2014
Caja de Ahorros de Carlet|Spain|EU|28/04/2014
Caja de ahorros y San Sebastián (Kutxa)|Spain|EU|28/04/2014
Caja de Ahorros de la Inmaculada de Aragon|Spain|EU|28/04/2014
Caja de Ahorros del Mediterráneo|Spain|EU|28/04/2014
Caja de Ahorros de Navarra|Spain|EU|28/04/2014
Caja de Ahorros de Salamanca (Caja Duero)|Spain|EU|28/04/2014
Caja de Ahorros El Monte|Spain|EU|28/04/2014
Caja de Arquitectos|Spain|EU|28/04/2014
Caja de Avila|Spain|EU|28/04/2014
Caixa Rural Vinaròs |Spain|EU|28/04/2014
Caja Campo|Spain|EU|28/04/2014
Caja Rural Castellón|Spain|EU|28/04/2014
Caja Rural de Almería|Spain|EU|28/04/2014
Caja Rural de Aragón|Spain|EU|28/04/2014
Caja Rural de Córdoba|Spain|EU|28/04/2014
Caja Rural de Granada|Spain|EU|28/04/2014
Caja Rural de Huelva|Spain|EU|28/04/2014
Caja Rural de Málaga|Spain|EU|28/04/2014
Caja Rural de Sevilla|Spain|EU|28/04/2014
Caja Rural de Teruel |Spain|EU|28/04/2014
Caja Rural de Extremadura|Spain|EU|28/04/2014
Caja Rural Valencia|Spain|EU|28/04/2014
Caja Rural de Zaragoza|Spain|EU|28/04/2014
Caja Rural Intermediterránea|Spain|EU|28/04/2014
Caja Rural Jaén|Spain|EU|28/04/2014
Caixa Rural Vinaròs |Spain|EU|28/04/2014
Caja Campo|Spain|EU|28/04/2014
Caja Rural Castellón|Spain|EU|28/04/2014
Caja Rural de Almería|Spain|EU|28/04/2014
Caja Rural de Aragón|Spain|EU|28/04/2014
Caja Rural de Córdoba|Spain|EU|28/04/2014
Caja Rural de Granada|Spain|EU|28/04/2014
Caja Rural de Huelva|Spain|EU|28/04/2014
Caja Rural de Málaga|Spain|EU|28/04/2014
Caja Rural de Sevilla|Spain|EU|28/04/2014
Caja Rural de Teruel |Spain|EU|28/04/2014
Caja Rural de Extremadura|Spain|EU|28/04/2014
Caja Rural Valencia|Spain|EU|28/04/2014
Caja Rural de Zaragoza|Spain|EU|28/04/2014
Caja Rural Intermediterránea|Spain|EU|28/04/2014
Caja Rural Jaén|Spain|EU|28/04/2014
Caja de Burgos|Spain|EU|28/04/2014
Caja de Canarias |Spain|EU|28/04/2014
Caja de Extremadura|Spain|EU|28/04/2014
Caja de Guadalajara|Spain|EU|28/04/2014
Caja del Círculo de Burgos |Spain|EU|28/04/2014
Caja General de Ahorros de Canarias|Spain|EU|28/04/2014
Caja Laboral |Spain|EU|28/04/2014
Caja Madrid|Spain|EU|28/04/2014
Caja Murcia|Spain|EU|28/04/2014
Caja Provincial de Ahorros de Jaén|Spain|EU|28/04/2014
Caja Rioja|Spain|EU|28/04/2014
Caja San Fernando|Spain|EU|28/04/2014
CajAstur |Spain|EU|28/04/2014
Cajasur|Spain|EU|28/04/2014
Caja Vital Kutxa|Spain|EU|28/04/2014
Ibercaja|Spain|EU|28/04/2014
La Caixa Caja de Ahorros Pensiones Barcelona|Spain|EU|28/04/2014
La General (Caja de Granada)|Spain|EU|28/04/2014
Sa Nostra (Caixa de Balears)|Spain|EU|28/04/2014
Unicaja|Spain|EU|28/04/2014
|||
|||
|||
